0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
0.9,0.02,0.04,0.06,0.12,0.15,0.18,0.28,0.32,0.36,0.50,0.55,0.60,0.78,0.84,0.90,1.12,1.19,1.26,1.52,1.60,1.68,1.97,2.06,2.15,2.24,2.59,2.69,2.79,3.18,3.28,3.39,3.82,3.94,4.06,4.52,4.65,4.78,5.28,5.42,5.56,6.10,6.24,6.39,6.97,7.13,7.28,7.44,8.07,8.23,8.40,9.06,9.24,9.41,10.11,10.30,10.48,11.22,11.41,11.60,12.38,12.58,12.78,13.59,13.80,14.01,14.22,15.08,15.30,15.52,16.40,16.63,16.86,17.78,18.02,18.26,19.21,19.46,19.70,20.69,20.95,21.20,21.45,22.48,22.75,23.01,24.07,24.34,24.61,25.71,25.99,26.26,27.39,27.68,27.96,28.25,29.41,29.71,30.00,31.20,31.50,
1.80,0.02,0.06,0.09,0.16,0.25,0.30,0.42,0.56,0.63,0.80,0.99,1.08,1.30,1.40,1.65,1.91,2.03,2.33,2.65,2.79,3.13,3.50,3.66,4.05,4.22,4.65,5.09,5.28,5.75,6.24,6.45,6.97,7.50,7.73,8.30,8.53,9.12,9.74,9.99,10.63,11.29,11.56,12.24,12.52,13.23,13.96,14.26,15.02,15.79,16.11,16.91,17.23,18.05,18.90,19.24,20.10,20.99,21.35,22.25,22.62,23.55,24.50,24.88,25.86,26.85,27.24,28.25,28.66,29.69,30.74,31.16,32.24,32.66,33.76,34.87,35.31,36.44,36.89,38.04,39.21,39.67,40.86,41.33,42.54,43.76,44.24,45.48,45.97,47.23,48.51,49.01,50.30,50.81,52.12,53.44,53.96,55.31,55.83,57.19,58.56,
2.70,0.02,0.06,0.12,0.20,0.30,0.42,0.56,0.72,0.90,1.10,1.32,1.55,1.81,2.09,2.39,2.71,3.04,3.40,3.78,4.17,4.58,5.02,5.47,5.71,6.19,6.69,7.21,7.74,8.30,8.87,9.47,10.08,10.71,11.36,12.02,12.71,13.41,14.13,14.86,15.62,16.39,16.78,17.58,18.39,19.22,20.07,20.94,21.82,22.71,23.63,24.56,25.50,26.46,27.44,28.43,28.93,29.95,30.98,32.02,33.08,34.16,35.25,36.35,37.47,38.60,39.75,40.32,41.48,42.66,43.86,45.07,46.29,47.52,48.76,50.02,51.29,51.92,53.21,54.51,55.82,57.14,58.48,59.83,61.19,61.85,63.23,64.61,66.01,67.42,68.83,70.26,70.96,72.40,73.85,75.31,76.78,78.26,79.75,80.48,81.98,
3.60,0.03,0.08,0.15,0.28,0.40,0.54,0.70,0.96,1.17,1.39,1.75,2.03,2.33,2.64,3.13,3.50,3.88,4.28,4.90,5.35,5.82,6.52,7.04,7.58,8.14,8.96,9.57,10.19,10.82,11.77,12.45,13.16,13.87,14.94,15.70,16.48,17.28,18.45,19.29,20.15,21.02,22.30,23.21,24.14,25.09,26.48,27.46,28.46,29.48,30.51,32.02,33.09,34.17,35.27,36.87,38.01,39.15,40.31,41.49,43.20,44.41,45.63,46.87,48.11,49.93,51.21,52.50,53.80,55.12,56.44,58.38,59.73,61.10,62.47,63.86,65.26,67.29,68.72,70.15,71.60,73.05,74.52,75.99,77.47,79.63,81.14,82.65,84.17,85.71,87.25,88.79,90.35,91.91,94.19,95.77,97.37,98.96,100.57,102.18,103.80,
4.50,0.03,0.10,0.18,0.32,0.45,0.66,0.91,1.11,1.43,1.69,2.08,2.50,2.84,3.33,3.72,4.28,4.88,5.34,6.01,6.52,7.25,8.02,8.60,9.44,10.07,10.97,11.64,12.60,13.60,14.35,15.40,16.19,17.31,18.15,19.32,20.20,21.43,22.70,23.64,24.97,25.95,27.33,28.35,29.78,30.84,32.33,33.42,34.96,36.09,37.68,38.84,40.48,41.68,43.36,44.60,46.33,47.59,49.37,50.66,52.48,53.81,55.67,57.03,58.93,60.31,62.25,63.66,65.09,67.08,68.53,70.56,72.03,74.10,75.59,77.10,79.21,80.74,82.88,84.44,85.99,88.18,89.76,91.98,93.58,95.18,97.44,99.06,100.69,102.98,104.63,106.29,108.61,110.28,111.96,114.31,116.00,117.70,120.09,121.80,123.51,
5.40,0.03,0.10,0.21,0.36,0.55,0.78,1.04,1.35,1.70,2.08,2.51,2.86,3.35,3.88,4.45,5.06,5.71,6.39,7.11,7.87,8.67,9.50,10.15,11.05,11.98,12.95,13.95,14.99,16.07,17.18,18.03,19.19,20.40,21.63,22.90,24.20,25.53,26.54,27.92,29.34,30.79,32.26,33.77,34.91,36.47,38.05,39.67,41.31,42.54,44.23,45.94,47.68,49.45,50.77,52.58,54.41,56.27,57.66,59.56,61.47,63.41,64.87,66.84,68.84,70.34,72.37,74.42,76.49,78.04,80.14,82.26,83.84,86.00,88.16,89.78,91.98,94.19,95.83,98.07,99.73,102.00,104.28,105.97,108.27,109.97,112.30,114.63,116.36,118.71,120.46,122.83,124.59,126.98,129.38,131.16,133.58,135.36,137.80,139.59,142.04,
6.30,0.04,0.12,0.24,0.40,0.65,0.89,1.18,1.51,1.96,2.38,2.83,3.32,3.98,4.56,5.18,5.83,6.53,7.43,8.21,9.02,9.87,10.76,11.90,12.87,13.87,14.91,15.98,17.36,18.51,19.69,20.90,22.15,23.43,25.06,26.41,27.80,29.21,30.66,32.13,33.64,35.54,37.10,38.70,40.33,41.98,43.66,45.36,47.09,48.85,50.63,52.43,54.26,56.11,58.44,60.34,62.27,64.22,66.19,68.18,70.19,72.21,74.26,76.33,78.42,80.52,82.14,84.27,86.42,88.59,90.78,92.98,95.19,97.43,99.67,101.93,104.20,106.49,108.23,110.54,112.86,115.19,117.54,119.90,121.68,124.06,126.44,128.84,131.24,133.06,135.48,137.91,140.35,142.19,144.64,147.10,149.57,151.43,153.91,156.39,158.26,
7.20,0.04,0.14,0.27,0.48,0.69,1.01,1.32,1.74,2.14,2.67,3.26,3.79,4.48,5.10,5.90,6.60,7.51,8.29,9.30,10.16,11.27,12.22,13.42,14.45,15.75,16.85,18.25,19.43,20.91,22.17,23.74,25.07,26.73,28.13,29.88,31.34,32.84,34.70,36.26,38.21,39.83,41.48,43.53,45.24,47.37,49.13,50.93,53.15,55.00,56.87,59.18,61.10,63.04,65.45,67.44,69.45,71.48,73.99,76.06,78.16,80.74,82.87,85.02,87.19,89.37,92.06,94.28,96.51,98.76,101.02,103.30,106.10,108.41,110.73,113.05,115.40,117.75,120.11,122.48,124.87,127.26,129.67,132.63,135.06,137.49,139.93,142.38,144.84,147.30,149.77,151.68,154.16,156.65,159.14,161.64,164.15,166.66,169.17,171.69,174.22,
8.10,0.04,0.14,0.30,0.51,0.79,1.13,1.52,1.90,2.40,2.96,3.57,4.25,4.98,5.77,6.47,7.36,8.31,9.31,10.37,11.48,12.45,13.66,14.92,16.23,17.60,18.77,20.23,21.73,23.29,24.89,26.26,27.94,29.68,31.46,32.97,34.83,36.73,38.34,40.32,42.34,44.40,46.13,48.26,50.43,52.25,54.49,56.37,58.66,60.99,62.95,65.34,67.34,69.79,72.27,74.34,76.87,78.98,81.56,83.72,86.34,88.53,91.21,93.43,96.15,98.41,100.68,103.45,105.75,108.56,110.89,113.24,116.09,118.46,120.84,123.74,126.15,128.56,131.50,133.93,136.37,139.35,141.81,144.28,146.75,149.23,152.26,154.76,157.26,159.77,162.28,165.34,167.87,170.40,172.93,175.47,178.01,180.55,183.10,185.65,188.20,
9.00,0.05,0.16,0.33,0.55,0.84,1.24,1.66,2.13,2.66,3.24,4.00,4.71,5.48,6.30,7.18,8.12,9.11,10.33,11.44,12.60,13.82,15.08,16.40,17.77,19.19,20.90,22.43,24.01,25.63,27.30,29.01,30.77,32.58,34.43,36.32,38.25,40.23,42.24,44.30,46.39,48.52,50.69,52.89,55.14,57.41,59.72,61.68,64.05,66.45,68.88,71.34,73.83,75.94,78.48,81.05,83.65,86.27,88.47,91.14,93.83,96.54,98.82,101.57,104.34,106.67,109.48,112.30,114.67,117.53,120.40,122.81,125.71,128.14,131.07,133.52,136.48,138.94,141.92,144.41,147.41,149.91,152.92,155.44,158.47,161.00,163.53,166.59,169.13,171.68,174.75,177.31,179.87,182.96,185.53,188.10,191.20,193.77,196.35,198.93,201.51,
